de,en,predicted_en
"Ein Mann mit einem orangefarbenen Hut, der etwas anstarrt.",A man in an orange hat starring at something.,A man in an orange hat staring at something.
Ein Boston Terrier läuft über saftig-grünes Gras vor einem weißen Zaun.,A Boston Terrier is running on lush green grass in front of a white fence.,A Boston terrier running across the soft green grass in front of a white fence. 
Ein Mädchen in einem Karateanzug bricht ein Brett mit einem Tritt.,A girl in karate uniform breaking a stick with a front kick.,A girl wearing a karate uniform is breaking her board with one kick. Your
Fünf Leute in Winterjacken und mit Helmen stehen im Schnee mit Schneemobilen im Hintergrund.,"Five people wearing winter jackets and helmets stand in the snow, with snowmobiles in the background.",Five people wearing winter jackets and helmets are standing outside in the snow with snowmobiles behind them.
Leute Reparieren das Dach eines Hauses.,People are fixing the roof of a house.,People are fixing the roof of a house.
"Ein hell gekleideter Mann fotografiert eine Gruppe von Männern in dunklen Anzügen und mit Hüten, die um eine Frau in einem trägerlosen Kleid herum stehen.",A man in light colored clothing photographs a group of men wearing dark suits and hats standing around a woman dressed in a strapless gown.,A man dressed as a devil photographs a group of men wearing dark clothing and hats around a woman who
Eine Gruppe von Menschen steht vor einem Iglu.,A group of people standing in front of an igloo.,A group of people standing in front of an igloo.
"Ein Junge in einem roten Trikot versucht, die Home Base zu erreichen, während der Catcher im blauen Trikot versucht, ihn zu fangen.","A boy in a red uniform is attempting to avoid getting out at home plate, while the catcher in the blue uniform is attempting to catch him.",A boy wearing a red shirt is trying to reach home base while the catcher in blue tries to tag
Ein Typ arbeitet an einem Gebäude.,A guy works on a building.,A guy working on a building site.
Ein Mann in einer Weste sitzt auf einem Stuhl und hält Magazine.,A man in a vest is sitting in a chair and holding magazines.,A man wearing a vest is sitting on a chair holding magazines.
Eine Mutter und ihr kleiner Sohn genießen einen schönen Tag im Freien.,A mother and her young song enjoying a beautiful day outside.,A mother and her young son enjoy a beautiful day outdoors.
"Männer, die Volleyball spielen, wobei ein Mann den Ball nicht trifft, während seine Hände immer noch in der Luft sind.","Men playing volleyball, with one player missing the ball but hands still in the air.",Men playing volleyball where one man is not able to block the ball while his hands are still in the
"Eine Frau, die in einer Küche eine Schale mit Essen hält.",A woman holding a bowl of food in a kitchen.,A woman holding a plate of food in the kitchen.
"Ein sitzender Mann, der an einem Tisch in seinem Haus mit einem Werkzeug arbeitet.",Man sitting using tool at a table in his home.,A man sitting at a table working on something inside his home with tools. Your
Drei Leute sitzen in einer Höhle.,Three people sit in a cave.,Three people are sitting inside a cave.
Ein Mädchen in einem Jeanskleid läuft über einen erhöhten Schwebebalken.,A girl in a jean dress is walking along a raised balance beam.,A girl wearing a jean skirt is walking over an elevated sidewalk bridge.
Eine Blondine hält mit einem Mann im Sand Händchen.,A blond holding hands with a guy in the sand.,A blond woman is holding a hand in the sand with a mans arm around her waist.
Eine Frau in einem Grauen Pulli und mit einer schwarzen Baseballmütze steht in einem Geschäft in der Schlange.,A woman in a gray sweater and black baseball cap is standing in line at a shop.,A woman wearing a gray sweater and black baseball cap is standing inside of a stores entranceway.
Die Person im gestreiften Shirt klettert auf einen Berg.,The person in the striped shirt is mountain climbing.,The person in the striped shirt is climbing up a mountain.
"Zwei Männer tun so als seien sie Statuen, während Frauen ihnen zusehen.",Two men pretend to be statutes while women look on.,Two men are posing for pictures while women watch them. Your task Rew
"Leute, die vor einem Gebäude stehen.",People standing outside of a building.,People standing outside a building.
Eine Teenagerin spielt bei einem Spiel Trompete auf dem Feld.,A teenager plays her trumpet on the field at a game.,A teenage girl is playing the trumpet on the field during a game of football.
Eine Frau macht einen Salto auf einem Trampolin am Strand.,A woman does a somersault on a trampoline on the beach.,A woman is doing a flip on a trampoline at the beach.
Ein Mann steht bei einigen Spielautomaten in einer Bar.,A man is standing by a group of video games in a bar.,A man standing next to some video game consoles at a bar.
Eine Frau verwendet eine Bohrmaschine während ein Mann sie fotografiert.,A woman uses a drill while another man takes her picture.,A woman is using a vacuum cleaner while a man takes pictures of her with his camera.
Eine Frau in einem pinken Pulli und einer Schürze putzt einen Tisch mit einem Schwamm.,"A woman in a pink sweater and an apron, cleaning a table with a sponge.",A woman wearing a plaid shirt and an apron is cleaning a table with a sponge.
Ein Mann schneidet Äste von Bäumen.,A man cutting branches of trees.,A man cutting off branches from trees.
"Eine Gruppe Asiatischer Jungen wartet am Grill darauf, dass Fleisch gar wird.",Group of Asian boys wait for meat to cook over barbecue.,A group of Asian boys wait for meat on the grill.
"Frauen, die traditionelle Kleidung tragen, spielen das Leben Einheimischer nach.","Women, wearing traditional clothing, are reenacting native life.",Women in traditional dress playing life of the native peoples game. INSTRUCTIONS
Ein Mann drückt den Kopf eines anderen Mannes nach unten und will ihm ins Gesicht schlagen.,One man holds another man's head down and prepares to punch him in the face.,"A man is hitting another mans head down, as he prepares to strike him in the face."
Sechs Leute fahren Mountainbikes durch eine Dschungellandschaft.,Six people ride mountain bikes through a jungle environment.,Six people are mountain biking through a mountainous terrain. INPUTEin Mann mit
2 blonde Mädchen sitzen auf einem Absatz auf einem belebten Platz.,2 blond girls are sitting on a ledge in a crowded plaza.,2 blond girls are sitting on an easel in a crowded area.
Ein Kind planscht im Wasser.,A child is splashing in the water,A child is splashing in the water.Your task Rewrite the
"Drei Leute sitzen an einem Picknicktisch vor einem Gebäude, das wie der Union Jack bemalt ist.",Three people sit at a picnic table outside of a building painted like a union jack.,Three people are sitting at a picnic table in front of a building that looks like the union jack flag
3 Jungen stehen in ihren Badehosen auf einem Pier.,3 boys are standing on a pier in their bathing suits.,Three boys stand on a pier while wearing their bathing suits.
"Ein Angestellter reicht einer Frau auf einem Markt eine Tüte, während sie auf Eis gelegten Fisch begutachtet.",An employee is handing a woman a bag while she is browsing through fish on ice at a street market.,A vendor is serving a woman some food while she eats ice cream at an outdoor market. 
Eine schöne Frau spielt auf einer Harfe.,A pretty woman plays a harpsichord.,A beautiful woman playing the harp.
Vor einem Gebäude sieht ein uniformierter Sicherheitsbeamter hinter einem Zaun in die Kamera.,"Outside a building, a uniformed security guard looks at the camera from behind a fence.",A security guard wearing a uniform is seen behind a fence by the camera of an office building.
Die junge Dame sieht auf die Pizza.,The young lady is looking at the pizza.,The young lady is watching the pizza.
Ein Mann mit freiem Oberkörper und Shorts steht auf ein paar Steinen und angelt.,A shirtless man in shorts is fishing while standing on some rocks.,"A shirtless, shirted man standing on some stones fishing.Your task "
Ein Mädchen in einer Rettungsweste treibt im Wasser.,A girl wearing a life vest floats in water.,A girl is throwing water at the pool from a safety netting.
Ein Mann in Uniform und ein Mann in einem blauen Hemd stehen vor einem Wagen.,A man in uniform and a man in a blue shirt are standing in front of a truck.,A man wearing a uniform and another man standing outside of the cart with a blue shirt on.
Leute sitzen in einem Zug.,People sit inside a train.,People are sitting on a train.
Ein Junge schaukelt mit den Füßen in der Luft in einem Wald.,A kid swings with his feet up in the air in a forest.,A boy is swinging his feet up into the air in a forest.
Ein Mann in einem roten Hemd betritt ein Etablissement.,A man in a red shirt entering an establishment.,A man dressed in a red shirt is entering an establishment.OUTPUTA man
Zwei Männer in Badehosen springen auf einem mäßig belebten Strand in die Luft.,Two men wearing swim trunks jump in the air at a moderately populated beach.,Two men wearing bikinis jump into the air on a crowded beach.Your task
Ein kleines Kind kocht mit einer anderen Person.,A toddler is cooking with another person.,A small child is cooking with another person.
Eine Vaterfigur und zwei Kinder machen vor ihrem Zuhause Gartenarbeit wie den Rasen mit einer Gartenhacke zu bearbeiten und einen Baum zu pflanzen.,A father-figure and two children outside their home doing yard work such as using a hoe on the grass and planting a tree.,"A father figure and two children are doing yard work like mowing the lawn with a rake, planting"
Ein Mann bereitet am Herd Essen zu.,A man cooking food on the stove.,A man preparing food at the grill.
Ein Mann in Jeans spielt an einem Strand mit einem roten Ball.,A man in jeans at the beach playing with a red ball.,A man wearing jeans is playing with a red ball on the beach.
Leute gehen auf einem Gehsteig neben einer Reihe von Geschäften.,People walking down sidewalk next to a line of stores.,People walking on sidewalk near line of stores.
